repository;classifier;mcc
PyratLabs/ansible-role-k3s;decision_tree;0,332946204
anthcourtney/ansible-role-cis-amazon-linux;random_forest;0,163130988
ansible-ThoTeam/nexus3-oss;random_forest;0,559599716
automium/service-kubernetes;random_forest;0,472188341
oVirt/ovirt-ansible-hosted-engine-setup;decision_tree;0,293549914
riemers/ansible-gitlab-runner;decision_tree;0,626409568
ansistrano/deploy;logistic;0,39737535
elastic/ansible-elasticsearch;random_forest;0,701853605
sensu/sensu-ansible;decision_tree,random_forest;0,084516101
cloudalchemy/ansible-grafana;random_forest;0,620800236
openstack/openstack-ansible-os_nova;decision_tree;0,407252465
CSCfi/ansible-role-slurm;random_forest;0,832680707
openwisp/ansible-openwisp2;random_forest;0,613785258
cloudalchemy/ansible-prometheus;decision_tree;0,856067155
ANXS/postgresql;decision_tree;0,770507687
openstack/openstack-ansible-rabbitmq_server;random_forest;0,559288486
galaxyproject/ansible-galaxy;random_forest;0,634145507
Oefenweb/ansible-percona-server;random_forest;0,599097206
UnderGreen/ansible-role-mongodb;decision_tree;0,770521758
ansible-community/ansible-nomad;random_forest;0,819745055
openstack/openstack-ansible-os_neutron;random_forest;0,558616346
AlbanAndrieu/ansible-jenkins-slave;random_forest;0,380880598
CoffeeITWorks/ansible_burp2_server;random_forest;0,66264238
DataDog/ansible-datadog;random_forest;0,72555301
oVirt/ovirt-ansible-disaster-recovery;random_forest;0,323482044
stackbuilders/sb-debian-base;svc;0,46477311
evrardjp/ansible-keepalived;decision_tree;0,867950258
cloudalchemy/ansible-node-exporter;random_forest;0,862192527
HanXHX/ansible-nginx;random_forest;0,588711336
viasite-ansible/ansible-role-zsh;decision_tree;0,770043611
lae/ansible-role-proxmox;decision_tree;0,439105247
HanXHX/ansible-debian-bootstrap;decision_tree;0,488533833
nusenu/ansible-relayor;decision_tree;0,725331826
DavidWittman/ansible-redis;random_forest;0,729444246
cloudalchemy/ansible-alertmanager;random_forest;0,684600969
aalaesar/install_nextcloud;random_forest;0,492919805
Oefenweb/ansible-postfix;decision_tree,random_forest;0,970588235
caktus/tequila-django;decision_tree;0,755062794
ansible-community/ansible-vault;naive_bayes;0,833333333
florianutz/Ubuntu1804-CIS;random_forest;0,683271584
dj-wasabi/ansible-telegraf;svc;0,497839391
rvm/rvm1-ansible;decision_tree;0,585439152
cloudalchemy/ansible-blackbox-exporter;naive_bayes,logistic,svc,decision_tree,random_forest;1
tulibraries/ansible-role-airflow;svc;0,094666048
idealista/mysql_role;naive_bayes;0,870495127
Graylog2/graylog-ansible-role;logistic,svc,random_forest;0,22713775
mrlesmithjr/ansible-netdata;random_forest;0,383599741
willshersystems/ansible-sshd;random_forest;1
idealista/consul_role;decision_tree,random_forest;0,951633975
ansible-lockdown/RHEL7-STIG;logistic;0,443235698
stone-payments/ansible-rabbitmq;naive_bayes;0,896327412
naftulikay/ansible-role-degoss;decision_tree,random_forest;0,472222222
CSCfi/ansible-role-users;naive_bayes,logistic,svc,decision_tree,random_forest;1
mrlesmithjr/ansible-manage-lvm;logistic;0,320485686
cloudalchemy/ansible-pushgateway;naive_bayes;0,914528471
antoiner77/caddy-ansible;naive_bayes,random_forest;0,515712284
idealista/nexus-role;naive_bayes,logistic,svc,decision_tree,random_forest;0
Oefenweb/ansible-supervisor;naive_bayes;0,897491736
kibatic/ansible-traefik;decision_tree;0,461538462
arillso/ansible.logrotate;naive_bayes,logistic,svc,decision_tree,random_forest;0,125
m4rcu5nl/ansible-role-zerotier;decision_tree,random_forest;1
fgci-org/ansible-role-cuda;random_forest;0,455341801
dokku/ansible-dokku;logistic;0,588151001
linux-system-roles/storage;naive_bayes,logistic,svc,decision_tree,random_forest;0
florianutz/Ubuntu1604-CIS;naive_bayes,decision_tree;0,574535599
idealista/java_role;naive_bayes;0,879242934
diodonfrost/ansible-role-mariadb;decision_tree;0,285714286
newrelic/infrastructure-agent-ansible;decision_tree,random_forest;0,952380952
elastic/ansible-beats;random_forest;0,456940131
wcm-io-devops/ansible-conga-ansible-controlhost;logistic,svc,decision_tree,random_forest;0,365148372
stackhpc/ansible-role-os-images;naive_bayes,logistic,svc,decision_tree,random_forest;1
infOpen/ansible-role-docker;naive_bayes,logistic,svc,decision_tree,random_forest;-0,118055556
stackhpc/ansible-role-libvirt-vm;naive_bayes,logistic,svc,random_forest;0,21821789
nwoetzel/ansible-role-eclipse;random_forest;0,149071198
mimacom/ansible-role-bamboo;naive_bayes,logistic;0,788675135
AlexeySetevoi/ansible-clickhouse;naive_bayes,decision_tree,random_forest;0,471404521
hadret/ansible-role-containers;random_forest;0,455341801
infOpen/ansible-role-fail2ban;naive_bayes,logistic,svc,decision_tree,random_forest;1
cloudalchemy/ansible-smokeping_prober;naive_bayes,logistic,svc,decision_tree,random_forest;0
galaxyproject/ansible-galaxy-tools;naive_bayes,logistic,svc,decision_tree,random_forest;0
;;0,566
