repository,metric,classifier,precision,recall,f1,mcc,auc-pr
PyratLabs/ansible-role-k3s,pdg,naive_bayes,0.3487179487179487,0.2328205128205127,0.2563247863247864,0.2086325210753098,0.3612545934012745
PyratLabs/ansible-role-k3s,pdg,logistic,0.25256410256410255,0.20410256410256408,0.22482295482295486,0.20246757223503833,0.4265330104892845
PyratLabs/ansible-role-k3s,pdg,svc,0.5307692307692308,0.2587179487179487,0.313137973137973,0.30038732398020024,0.4484872884020911
PyratLabs/ansible-role-k3s,pdg,decision_tree,0.6153846153846154,0.2753846153846155,0.34368742368742344,0.33970601018505797,0.5108617556742617
PyratLabs/ansible-role-k3s,pdg,random_forest,0.6038461538461538,0.28051282051282067,0.341269841269841,0.33334152592077687,0.5098814554866445
PyratLabs/ansible-role-k3s,iac,naive_bayes,0.580744810744811,0.9192307692307694,0.6697862394016239,0.653589981036013,0.7430537710369586
PyratLabs/ansible-role-k3s,iac,logistic,0.7773260073260071,0.8830769230769234,0.8123901739286349,0.7911992037723258,0.8762577276524643
PyratLabs/ansible-role-k3s,iac,svc,0.8168253968253968,0.9520512820512821,0.8630735930735927,0.8508009872574516,0.926384586484361
PyratLabs/ansible-role-k3s,iac,decision_tree,0.9026739926739927,0.9666666666666667,0.9248807602653756,0.9181189876031696,0.9443412969491769
PyratLabs/ansible-role-k3s,iac,random_forest,0.9287912087912087,0.9784615384615385,0.9459601936525011,0.9392008666969481,0.9747887667887667
PyratLabs/ansible-role-k3s,process,naive_bayes,0.256575520821153,0.2602564102564103,0.173273974000854,0.06672382688264548,0.4274641467345318
PyratLabs/ansible-role-k3s,process,logistic,0.16993006993006993,0.06923076923076923,0.08846656611362494,0.037473783573078075,0.45730922911529515
PyratLabs/ansible-role-k3s,process,svc,0.1671095571095571,0.08025641025641025,0.09710126474832358,0.05044492370355457,0.4468290091403242
PyratLabs/ansible-role-k3s,process,decision_tree,0.38435897435897437,0.17564102564102566,0.20884171384171388,0.1863740276284091,0.5228740043017209
PyratLabs/ansible-role-k3s,process,random_forest,0.3,0.18743589743589747,0.20087138351844233,0.1559216303438193,0.47984065636268886
PyratLabs/ansible-role-k3s,delta,naive_bayes,0.2262837162837163,0.14487179487179488,0.13470964932503396,0.07314273295781037,0.483281023980998
PyratLabs/ansible-role-k3s,delta,logistic,0.2,0.11846153846153847,0.12589635854341735,0.08249501612610906,0.49428598837280957
PyratLabs/ansible-role-k3s,delta,svc,0.19673659673659674,0.10153846153846156,0.10939452704158587,0.06175224651984188,0.49750083763965636
PyratLabs/ansible-role-k3s,delta,decision_tree,0.29135198135198137,0.16615384615384615,0.16525977290683175,0.12444655165869371,0.5102151670890906
PyratLabs/ansible-role-k3s,delta,random_forest,0.3244289044289044,0.15384615384615388,0.16878846643552525,0.12741359906656616,0.5121541142305996
anthcourtney/ansible-role-cis-amazon-linux,pdg,naive_bayes,0.0,0.0,0.0,-0.0023407459891550803,0.031088850702368522
anthcourtney/ansible-role-cis-amazon-linux,pdg,logistic,0.0,0.0,0.0,0.0,0.032818901252758395
anthcourtney/ansible-role-cis-amazon-linux,pdg,svc,0.0,0.0,0.0,0.0,0.32003520189219703
anthcourtney/ansible-role-cis-amazon-linux,pdg,decision_tree,0.5625,0.3125,0.3958333333333333,0.41169415820151267,0.45083648345548505
anthcourtney/ansible-role-cis-amazon-linux,pdg,random_forest,0.5625,0.28125,0.375,0.3937945927919093,0.4535666760426797
anthcourtney/ansible-role-cis-amazon-linux,iac,naive_bayes,0.05500865162065657,0.875,0.10226707256550226,0.1849050775850689,0.5330033355216717
anthcourtney/ansible-role-cis-amazon-linux,iac,logistic,0.0625,0.03125,0.041666666666666664,0.04234175921585105,0.13017453413911706
anthcourtney/ansible-role-cis-amazon-linux,iac,svc,0.0,0.0,0.0,0.0,0.5158900250665435
anthcourtney/ansible-role-cis-amazon-linux,iac,decision_tree,0.7916666666666666,0.8125,0.7797619047619048,0.7882897260766116,0.8241114097968937
anthcourtney/ansible-role-cis-amazon-linux,iac,random_forest,0.8958333333333334,0.875,0.85,0.8659310595921343,0.779322778618616
anthcourtney/ansible-role-cis-amazon-linux,process,naive_bayes,0.0036514878797655453,0.3125,0.007217922622109886,-0.02069081138440474,0.16246126128360813
anthcourtney/ansible-role-cis-amazon-linux,process,logistic,0.004310344827586207,0.03125,0.007575757575757575,0.005857788213199448,0.1754416915332414
anthcourtney/ansible-role-cis-amazon-linux,process,svc,0.0,0.0,0.0,0.0,0.3214090331559354
anthcourtney/ansible-role-cis-amazon-linux,process,decision_tree,0.0,0.0,0.0,0.0,0.3205163330401993
anthcourtney/ansible-role-cis-amazon-linux,process,random_forest,0.0,0.0,0.0,0.0,0.2905484290539626
anthcourtney/ansible-role-cis-amazon-linux,delta,naive_bayes,0.011273747440251692,0.59375,0.021734683192009465,-0.014978430004052495,0.23094341320822986
anthcourtney/ansible-role-cis-amazon-linux,delta,logistic,0.0,0.0,0.0,-0.0009428123938098675,0.16198790413474087
anthcourtney/ansible-role-cis-amazon-linux,delta,svc,0.0,0.0,0.0,0.0,0.4451453403656132
anthcourtney/ansible-role-cis-amazon-linux,delta,decision_tree,0.0,0.0,0.0,0.0,0.4276919513745617
anthcourtney/ansible-role-cis-amazon-linux,delta,random_forest,0.0,0.0,0.0,0.0,0.35574119010110594
ansible-ThoTeam/nexus3-oss,pdg,naive_bayes,0.40873015873015867,0.20833333333333326,0.2549508692365836,0.24581477462235585,0.2698829554242353
ansible-ThoTeam/nexus3-oss,pdg,logistic,0.7738095238095238,0.27182539682539686,0.40079365079365087,0.43082919035222417,0.4458524966312183
ansible-ThoTeam/nexus3-oss,pdg,svc,0.8809523809523809,0.29563492063492064,0.44047619047619047,0.4846344552355412,0.5637813109835557
ansible-ThoTeam/nexus3-oss,pdg,decision_tree,0.9464285714285714,0.603174603174603,0.7074263038548756,0.7194263031023402,0.791833315828855
ansible-ThoTeam/nexus3-oss,pdg,random_forest,0.8988095238095238,0.5873015873015872,0.6820294784580502,0.6914257682883879,0.7839824313212846
ansible-ThoTeam/nexus3-oss,iac,naive_bayes,0.5816326530612246,0.746031746031746,0.6322991822991826,0.5971172425136536,0.7573179080619554
ansible-ThoTeam/nexus3-oss,iac,logistic,0.9503968253968255,0.7976190476190478,0.854478458049887,0.8498481515693176,0.8695481015923292
ansible-ThoTeam/nexus3-oss,iac,svc,0.968253968253968,0.7976190476190477,0.8614512471655331,0.8587051998247004,0.9011452055716515
ansible-ThoTeam/nexus3-oss,iac,decision_tree,0.9654761904761903,0.978174603174603,0.9675925925925926,0.9652108496682006,0.9729682150638035
ansible-ThoTeam/nexus3-oss,iac,random_forest,0.9702380952380951,0.978174603174603,0.9702380952380952,0.9684991447307878,0.9849702380952381
ansible-ThoTeam/nexus3-oss,process,naive_bayes,0.35909090909090907,0.2837301587301588,0.27382507071948065,0.26349161308336166,0.5338665293570676
ansible-ThoTeam/nexus3-oss,process,logistic,0.27579365079365076,0.16865079365079363,0.19323507180650037,0.18807096661799896,0.5208577890237743
ansible-ThoTeam/nexus3-oss,process,svc,0.27380952380952384,0.19444444444444442,0.20198659173814454,0.19325319355272835,0.5030865412411119
ansible-ThoTeam/nexus3-oss,process,decision_tree,0.4003968253968254,0.2599206349206349,0.295124716553288,0.27959417116508756,0.5250580245028222
ansible-ThoTeam/nexus3-oss,process,random_forest,0.36468253968253966,0.2261904761904762,0.2580498866213152,0.25389946470137614,0.5296639496367174
ansible-ThoTeam/nexus3-oss,delta,naive_bayes,0.49484126984126986,0.3194444444444444,0.358843537414966,0.3541855983240001,0.5972730542477258
ansible-ThoTeam/nexus3-oss,delta,logistic,0.5174603174603175,0.244047619047619,0.30975056689342406,0.32028177575858063,0.5613508532236915
