repository,metric,classifier,precision,recall,f1,mcc,auc-pr
PyratLabs/ansible-role-k3s,pdg,naive_bayes,0.308974358974359,0.2207692307692307,0.24020757020757025,0.18983344094841975,0.374716131862813
PyratLabs/ansible-role-k3s,pdg,logistic,0.19948717948717948,0.1733333333333333,0.18459096459096455,0.1399589421547686,0.3787213529577662
PyratLabs/ansible-role-k3s,pdg,svc,0.3730769230769231,0.22846153846153838,0.2610866910866911,0.23379779288798122,0.4267481031727874
PyratLabs/ansible-role-k3s,pdg,decision_tree,0.6153846153846154,0.2753846153846155,0.34368742368742344,0.33970601018505797,0.5108617556742617
PyratLabs/ansible-role-k3s,pdg,random_forest,0.6115384615384616,0.2753846153846155,0.3420390720390718,0.336759908940016,0.5098814554866445
PyratLabs/ansible-role-k3s,iac,naive_bayes,0.5853235653235654,0.916666666666667,0.6708447108447105,0.655673488513242,0.7314926323264986
PyratLabs/ansible-role-k3s,iac,logistic,0.6645787545787545,0.8946153846153848,0.7355299401453245,0.715629322634156,0.8427931427359562
PyratLabs/ansible-role-k3s,iac,svc,0.7729853479853478,0.8841025641025643,0.812626348010963,0.786772865463718,0.8998929992968454
PyratLabs/ansible-role-k3s,iac,decision_tree,0.9038217338217338,0.9666666666666667,0.9256804733727809,0.9190633955962509,0.9451025442488856
PyratLabs/ansible-role-k3s,iac,random_forest,0.9328937728937728,0.9784615384615385,0.9484465961389037,0.9418202800139551,0.9726039025077486
PyratLabs/ansible-role-k3s,process,naive_bayes,0.2356496941609971,0.3138461538461539,0.18185569835015367,0.05644112180099394,0.4127434696135881
PyratLabs/ansible-role-k3s,process,logistic,0.2212121212121212,0.07512820512820512,0.09979745744451626,0.05669239275213275,0.4421582356071821
PyratLabs/ansible-role-k3s,process,svc,0.1830924630924631,0.08923076923076924,0.10602900367606248,0.05752347774400878,0.4605802582422892
PyratLabs/ansible-role-k3s,process,decision_tree,0.39307692307692316,0.17153846153846158,0.20915306915306922,0.1867455415618436,0.5143247966813479
PyratLabs/ansible-role-k3s,process,random_forest,0.3061538461538461,0.14435897435897438,0.176953046953047,0.14837807268039938,0.46080581493029743
PyratLabs/ansible-role-k3s,delta,naive_bayes,0.23952158952158956,0.2089743589743589,0.16398159645123211,0.0849200982682059,0.49031440192783743
PyratLabs/ansible-role-k3s,delta,logistic,0.11538461538461539,0.08205128205128207,0.07747145011850894,0.04234239968562622,0.4386617112843971
PyratLabs/ansible-role-k3s,delta,svc,0.11981351981351981,0.09102564102564102,0.0868304244774833,0.047111033259789596,0.5173449809969038
PyratLabs/ansible-role-k3s,delta,decision_tree,0.2962237762237762,0.1648717948717949,0.16538187302893187,0.12302660881786134,0.5034602717342891
PyratLabs/ansible-role-k3s,delta,random_forest,0.32058275058275054,0.15128205128205133,0.16556391321097202,0.12427569496039863,0.5187407119668224
