Metric;Occurrences;mean_Ranked;mean_Optimal_n
maxPdgVertices;57;2.21;3.74
verticesCount;50;2.92;3.74
edgesToVerticesRatio;42;3.95;3.74
edgesCount;41;3.88;3.74
globalInput;38;4.79;3.74
lackOfCohesion;24;13.58;3.74
indirectFanOut;19;17.47;3.74
indirectFanIn;9;50.33;3.74
directFanOut;7;61.14;3.74
directFanIn;3;188.33;3.74
globalOutput;2;310.5;3.74
