,count,mean,std, min,25%,50%,75%,max
precision,80,0.51,0.29,0.0,0.33,0.49,0.72,1.0
recall,80,0.72,0.27,0.0,0.53,0.81,0.93,1.0
f1,80,0.54,0.27,0.0,0.36,0.52,0.72,1.0
mcc,80,0.43,0.32,-0.16,0.19,0.37,0.6,1.0
auc-pr,80,0.65,0.27,0.0,0.48,0.66,0.89,1.0
