,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.2959795916017314,0.2959795916017314,9.695469763213485e-05,9.695469763213485e-05
logistic,,,9.214425527838948e-12,9.214425527838948e-12,1.192397104488997e-11
svc,,,,1.192397104488997e-11,1.5400678131388508e-06
decision_tree,,,,,1.5400678131388508e-06
random_forest,,,,,
