,count,mean,std, min,25%,50%,75%,max
precision,80,0.68,0.28,0.0,0.53,0.7,0.92,1.0
recall,80,0.82,0.24,0.0,0.76,0.9,0.99,1.0
f1,80,0.69,0.26,0.0,0.53,0.74,0.9,1.0
mcc,80,0.63,0.29,0.0,0.49,0.67,0.87,1.0
auc-pr,80,0.8,0.21,0.0,0.69,0.86,0.95,1.0
