,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,-0.025757667281451006,-0.254942019942575,-0.6594285217903487,-0.6699809917828049
logistic,,,-0.2397177413639302,-0.662743223089326,-0.6739126898490365
svc,,,,-0.4256115680470049,-0.43586109905467557
decision_tree,,,,,-0.008476889676736323
random_forest,,,,,
