,count,mean,std, min,25%,50%,75%,max
precision,80,0.56,0.27,0.0,0.4,0.56,0.75,1.0
recall,80,0.78,0.24,0.0,0.64,0.87,0.99,1.0
f1,80,0.6,0.25,0.0,0.45,0.6,0.78,1.0
mcc,80,0.51,0.29,-0.06,0.33,0.47,0.72,1.0
auc-pr,80,0.65,0.27,0.0,0.5,0.64,0.89,1.0
