,count,mean,std, min,25%,50%,75%,max
precision,80,0.5,0.27,0.0,0.33,0.47,0.67,1.0
recall,80,0.75,0.27,0.0,0.59,0.86,1.0,1.0
f1,80,0.54,0.26,0.0,0.41,0.55,0.65,1.0
mcc,80,0.44,0.29,-0.12,0.23,0.42,0.57,1.0
auc-pr,80,0.62,0.27,0.0,0.47,0.61,0.87,1.0
