,count,mean,std, min,25%,50%,75%,max
precision,80,0.43,0.36,0.0,0.0,0.45,0.72,1.0
recall,80,0.42,0.38,0.0,0.0,0.34,0.78,1.0
f1,80,0.39,0.35,0.0,0.0,0.34,0.71,1.0
mcc,80,0.34,0.34,-0.07,0.0,0.28,0.58,1.0
auc-pr,80,0.62,0.25,0.0,0.48,0.61,0.8,1.0
