,count,mean,std, min,25%,50%,75%,max
precision,80,0.54,0.33,0.0,0.31,0.55,0.83,1.0
recall,80,0.53,0.37,0.0,0.17,0.57,0.89,1.0
f1,80,0.5,0.34,0.0,0.19,0.57,0.77,1.0
mcc,80,0.44,0.34,-0.08,0.16,0.43,0.67,1.0
auc-pr,80,0.67,0.25,0.0,0.53,0.66,0.86,1.0
