,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.22144509547630786,0.22144509547630786,0.04882108400006157,0.04882108400006157
logistic,,,4.309291071324985e-09,4.309291071324985e-09,3.541160275030732e-09
svc,,,,3.541160275030732e-09,0.0002525737639463714
decision_tree,,,,,0.0002525737639463714
random_forest,,,,,
