,count,mean,std, min,25%,50%,75%,max
precision,80,0.7,0.31,0.0,0.61,0.81,0.92,1.0
recall,80,0.69,0.33,0.0,0.56,0.81,0.96,1.0
f1,80,0.67,0.31,0.0,0.53,0.77,0.9,1.0
mcc,80,0.63,0.32,-0.06,0.48,0.71,0.88,1.0
auc-pr,80,0.79,0.21,0.0,0.67,0.86,0.94,1.0
