,count,mean,std, min,25%,50%,75%,max
precision,80,0.52,0.3,0.0,0.31,0.52,0.72,1.0
recall,80,0.63,0.32,0.0,0.35,0.71,0.91,1.0
f1,80,0.52,0.29,0.0,0.29,0.54,0.71,1.0
mcc,80,0.42,0.33,-0.16,0.17,0.4,0.65,1.0
auc-pr,80,0.64,0.26,0.0,0.48,0.66,0.86,1.0
