repository,classifier,rank
AlbanAndrieu/ansible-jenkins-slave,random_forest,1.0
CoffeeITWorks/ansible_burp2_server,naive_bayes,5.0
CoffeeITWorks/ansible_burp2_server,logistic,4.0
CoffeeITWorks/ansible_burp2_server,svc,3.0
CoffeeITWorks/ansible_burp2_server,decision_tree,1.0
CoffeeITWorks/ansible_burp2_server,random_forest,2.0
DataDog/ansible-datadog,naive_bayes,3.0
DataDog/ansible-datadog,logistic,5.0
DataDog/ansible-datadog,svc,4.0
DataDog/ansible-datadog,decision_tree,2.0
DataDog/ansible-datadog,random_forest,1.0
oVirt/ovirt-ansible-disaster-recovery,naive_bayes,3.0
oVirt/ovirt-ansible-disaster-recovery,logistic,4.5
oVirt/ovirt-ansible-disaster-recovery,svc,4.5
oVirt/ovirt-ansible-disaster-recovery,decision_tree,1.0
oVirt/ovirt-ansible-disaster-recovery,random_forest,2.0
stackbuilders/sb-debian-base,naive_bayes,1.0
stackbuilders/sb-debian-base,logistic,5.0
stackbuilders/sb-debian-base,svc,3.5
stackbuilders/sb-debian-base,decision_tree,2.0
stackbuilders/sb-debian-base,random_forest,3.5
evrardjp/ansible-keepalived,naive_bayes,4.0
evrardjp/ansible-keepalived,logistic,5.0
evrardjp/ansible-keepalived,svc,3.0
evrardjp/ansible-keepalived,decision_tree,1.0
evrardjp/ansible-keepalived,random_forest,2.0
cloudalchemy/ansible-node-exporter,naive_bayes,4.0
cloudalchemy/ansible-node-exporter,logistic,5.0
cloudalchemy/ansible-node-exporter,svc,3.0
cloudalchemy/ansible-node-exporter,decision_tree,1.0
cloudalchemy/ansible-node-exporter,random_forest,2.0
HanXHX/ansible-nginx,naive_bayes,5.0
HanXHX/ansible-nginx,logistic,4.0
HanXHX/ansible-nginx,svc,3.0
HanXHX/ansible-nginx,decision_tree,1.0
HanXHX/ansible-nginx,random_forest,2.0
viasite-ansible/ansible-role-zsh,naive_bayes,5.0
viasite-ansible/ansible-role-zsh,logistic,4.0
viasite-ansible/ansible-role-zsh,svc,3.0
viasite-ansible/ansible-role-zsh,decision_tree,1.0
viasite-ansible/ansible-role-zsh,random_forest,2.0
lae/ansible-role-proxmox,naive_bayes,3.0
lae/ansible-role-proxmox,logistic,5.0
lae/ansible-role-proxmox,svc,4.0
lae/ansible-role-proxmox,decision_tree,2.0
lae/ansible-role-proxmox,random_forest,1.0
HanXHX/ansible-debian-bootstrap,naive_bayes,4.0
HanXHX/ansible-debian-bootstrap,logistic,5.0
HanXHX/ansible-debian-bootstrap,svc,1.0
HanXHX/ansible-debian-bootstrap,decision_tree,3.0
HanXHX/ansible-debian-bootstrap,random_forest,2.0
nusenu/ansible-relayor,naive_bayes,3.0
nusenu/ansible-relayor,logistic,5.0
nusenu/ansible-relayor,svc,4.0
nusenu/ansible-relayor,decision_tree,1.0
nusenu/ansible-relayor,random_forest,2.0
DavidWittman/ansible-redis,naive_bayes,3.0
DavidWittman/ansible-redis,logistic,5.0
DavidWittman/ansible-redis,svc,4.0
DavidWittman/ansible-redis,decision_tree,2.0
DavidWittman/ansible-redis,random_forest,1.0
cloudalchemy/ansible-alertmanager,naive_bayes,4.0
cloudalchemy/ansible-alertmanager,logistic,5.0
cloudalchemy/ansible-alertmanager,svc,3.0
cloudalchemy/ansible-alertmanager,decision_tree,2.0
cloudalchemy/ansible-alertmanager,random_forest,1.0
aalaesar/install_nextcloud,naive_bayes,5.0
aalaesar/install_nextcloud,logistic,3.0
aalaesar/install_nextcloud,svc,4.0
aalaesar/install_nextcloud,decision_tree,1.0
aalaesar/install_nextcloud,random_forest,2.0
Oefenweb/ansible-postfix,naive_bayes,5.0
Oefenweb/ansible-postfix,logistic,4.0
Oefenweb/ansible-postfix,svc,3.0
Oefenweb/ansible-postfix,decision_tree,1.5
Oefenweb/ansible-postfix,random_forest,1.5
caktus/tequila-django,naive_bayes,4.0
caktus/tequila-django,logistic,5.0
caktus/tequila-django,svc,3.0
caktus/tequila-django,decision_tree,2.0
caktus/tequila-django,random_forest,1.0
