,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,4.323337867825527e-06,4.323337867825527e-06,0.5303361431069091,0.5303361431069091
logistic,,,5.605509789650948e-09,5.605509789650948e-09,3.92137638067988e-10
svc,,,,3.92137638067988e-10,5.529812166418019e-09
decision_tree,,,,,5.529812166418019e-09
random_forest,,,,,
