,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.5461302582868033,0.044396671349212026,-0.6348341936526679,-0.6772751212964836
logistic,,,-0.49089232726145693,-1.1913917132019989,-1.2438197151001888
svc,,,,-0.6675200546980291,-0.7094554365464498
decision_tree,,,,,-0.032161341281814575
random_forest,,,,,
