,count,mean,std, min,25%,50%,75%,max
precision,80,0.34,0.35,0.0,0.0,0.24,0.58,1.0
recall,80,0.32,0.36,0.0,0.0,0.21,0.56,1.0
f1,80,0.31,0.33,0.0,0.0,0.21,0.54,1.0
mcc,80,0.25,0.32,-0.08,0.0,0.11,0.37,1.0
auc-pr,80,0.62,0.27,0.0,0.46,0.61,0.87,1.0
