,count,mean,std, min,25%,50%,75%,max
precision,80,0.51,0.35,0.0,0.16,0.55,0.82,1.0
recall,80,0.48,0.37,0.0,0.12,0.48,0.85,1.0
f1,80,0.46,0.34,0.0,0.13,0.48,0.72,1.0
mcc,80,0.41,0.34,-0.04,0.04,0.38,0.65,1.0
auc-pr,80,0.64,0.24,0.0,0.51,0.62,0.85,1.0
