,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.31455038561563664,0.31455038561563664,0.31155525776793835,0.31155525776793835
logistic,,,6.040695396568228e-09,6.040695396568228e-09,6.390522268971723e-10
svc,,,,6.390522268971723e-10,0.0014320707318812404
decision_tree,,,,,0.0014320707318812404
random_forest,,,,,
