,count,mean,std, min,25%,50%,75%,max
precision,80,0.48,0.34,0.0,0.15,0.53,0.74,1.0
recall,80,0.46,0.37,0.0,0.09,0.39,0.8,1.0
f1,80,0.44,0.34,0.0,0.11,0.43,0.72,1.0
mcc,80,0.38,0.34,-0.08,0.05,0.32,0.64,1.0
auc-pr,80,0.65,0.26,0.0,0.53,0.64,0.89,1.0
