,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.14001067865933206,0.0025876112836401254,-0.6188125932111948,-0.6592367627030375
logistic,,,-0.13538933747123677,-0.7477970628614826,-0.7881819316587826
svc,,,,-0.6116789398037874,-0.6513429135658958
decision_tree,,,,,-0.0364844760903413
random_forest,,,,,
