,count,mean,std, min,25%,50%,75%,max
precision,80,0.7,0.31,0.0,0.62,0.8,0.92,1.0
recall,80,0.69,0.33,0.0,0.56,0.82,0.96,1.0
f1,80,0.66,0.31,0.0,0.53,0.76,0.89,1.0
mcc,80,0.62,0.32,-0.05,0.48,0.7,0.87,1.0
auc-pr,80,0.8,0.2,0.0,0.69,0.87,0.94,1.0
