,count,mean,std, min,25%,50%,75%,max
precision,80,0.52,0.35,0.0,0.2,0.56,0.83,1.0
recall,80,0.49,0.36,0.0,0.12,0.51,0.84,1.0
f1,80,0.48,0.34,0.0,0.13,0.56,0.74,1.0
mcc,80,0.42,0.34,-0.08,0.1,0.41,0.7,1.0
auc-pr,80,0.63,0.24,0.0,0.48,0.64,0.83,1.0
