,count,mean,std, min,25%,50%,75%,max
precision,80,0.71,0.3,0.0,0.59,0.79,0.93,1.0
recall,80,0.71,0.32,0.0,0.56,0.84,0.97,1.0
f1,80,0.68,0.3,0.0,0.57,0.77,0.9,1.0
mcc,80,0.64,0.32,-0.11,0.46,0.7,0.89,1.0
auc-pr,80,0.8,0.23,0.0,0.67,0.88,0.97,1.0
