repository,metric,rank
cloudalchemy/ansible-node-exporter,process,2.0
cloudalchemy/ansible-node-exporter,pdg_delta,5.0
cloudalchemy/ansible-node-exporter,pdg_iac,14.0
cloudalchemy/ansible-node-exporter,pdg_process,4.0
cloudalchemy/ansible-node-exporter,delta_iac,15.0
cloudalchemy/ansible-node-exporter,delta_process,3.0
cloudalchemy/ansible-node-exporter,iac_process,10.5
cloudalchemy/ansible-node-exporter,pdg_delta_iac,10.5
cloudalchemy/ansible-node-exporter,pdg_delta_process,6.0
cloudalchemy/ansible-node-exporter,pdg_iac_process,13.0
cloudalchemy/ansible-node-exporter,delta_iac_process,8.0
cloudalchemy/ansible-node-exporter,pdg_iac_delta_process,12.0
HanXHX/ansible-nginx,pdg,7.0
HanXHX/ansible-nginx,delta,1.0
HanXHX/ansible-nginx,iac,15.0
HanXHX/ansible-nginx,process,3.0
HanXHX/ansible-nginx,pdg_delta,4.0
HanXHX/ansible-nginx,pdg_iac,14.0
HanXHX/ansible-nginx,pdg_process,6.0
HanXHX/ansible-nginx,delta_iac,11.0
HanXHX/ansible-nginx,delta_process,2.0
HanXHX/ansible-nginx,iac_process,10.0
HanXHX/ansible-nginx,pdg_delta_iac,12.0
HanXHX/ansible-nginx,pdg_delta_process,5.0
HanXHX/ansible-nginx,pdg_iac_process,13.0
HanXHX/ansible-nginx,delta_iac_process,8.0
HanXHX/ansible-nginx,pdg_iac_delta_process,9.0
viasite-ansible/ansible-role-zsh,pdg,6.0
viasite-ansible/ansible-role-zsh,delta,1.0
viasite-ansible/ansible-role-zsh,iac,12.0
viasite-ansible/ansible-role-zsh,process,3.0
viasite-ansible/ansible-role-zsh,pdg_delta,7.0
viasite-ansible/ansible-role-zsh,pdg_iac,14.0
viasite-ansible/ansible-role-zsh,pdg_process,5.0
viasite-ansible/ansible-role-zsh,delta_iac,11.0
viasite-ansible/ansible-role-zsh,delta_process,2.0
viasite-ansible/ansible-role-zsh,iac_process,9.0
viasite-ansible/ansible-role-zsh,pdg_delta_iac,15.0
viasite-ansible/ansible-role-zsh,pdg_delta_process,4.0
viasite-ansible/ansible-role-zsh,pdg_iac_process,13.0
viasite-ansible/ansible-role-zsh,delta_iac_process,10.0
viasite-ansible/ansible-role-zsh,pdg_iac_delta_process,8.0
lae/ansible-role-proxmox,pdg,7.0
lae/ansible-role-proxmox,delta,3.0
lae/ansible-role-proxmox,iac,14.0
lae/ansible-role-proxmox,process,1.0
lae/ansible-role-proxmox,pdg_delta,6.0
lae/ansible-role-proxmox,pdg_iac,14.0
lae/ansible-role-proxmox,pdg_process,5.0
lae/ansible-role-proxmox,delta_iac,14.0
lae/ansible-role-proxmox,delta_process,2.0
lae/ansible-role-proxmox,iac_process,10.0
lae/ansible-role-proxmox,pdg_delta_iac,11.5
lae/ansible-role-proxmox,pdg_delta_process,4.0
lae/ansible-role-proxmox,pdg_iac_process,11.5
lae/ansible-role-proxmox,delta_iac_process,8.0
lae/ansible-role-proxmox,pdg_iac_delta_process,9.0
HanXHX/ansible-debian-bootstrap,pdg,7.0
HanXHX/ansible-debian-bootstrap,delta,1.0
HanXHX/ansible-debian-bootstrap,iac,8.0
HanXHX/ansible-debian-bootstrap,process,3.0
HanXHX/ansible-debian-bootstrap,pdg_delta,5.0
HanXHX/ansible-debian-bootstrap,pdg_iac,15.0
HanXHX/ansible-debian-bootstrap,pdg_process,4.0
HanXHX/ansible-debian-bootstrap,delta_iac,13.0
HanXHX/ansible-debian-bootstrap,delta_process,2.0
HanXHX/ansible-debian-bootstrap,iac_process,13.0
HanXHX/ansible-debian-bootstrap,pdg_delta_iac,11.0
HanXHX/ansible-debian-bootstrap,pdg_delta_process,6.0
HanXHX/ansible-debian-bootstrap,pdg_iac_process,9.5
HanXHX/ansible-debian-bootstrap,delta_iac_process,13.0
HanXHX/ansible-debian-bootstrap,pdg_iac_delta_process,9.5
nusenu/ansible-relayor,pdg,6.0
nusenu/ansible-relayor,delta,1.0
nusenu/ansible-relayor,iac,14.5
nusenu/ansible-relayor,process,3.0
nusenu/ansible-relayor,pdg_delta,4.0
nusenu/ansible-relayor,pdg_iac,14.5
nusenu/ansible-relayor,pdg_process,7.0
nusenu/ansible-relayor,delta_iac,9.5
nusenu/ansible-relayor,delta_process,2.0
nusenu/ansible-relayor,iac_process,13.0
nusenu/ansible-relayor,pdg_delta_iac,12.0
nusenu/ansible-relayor,pdg_delta_process,5.0
nusenu/ansible-relayor,pdg_iac_process,9.5
nusenu/ansible-relayor,delta_iac_process,9.5
nusenu/ansible-relayor,pdg_iac_delta_process,9.5
DavidWittman/ansible-redis,pdg,5.0
DavidWittman/ansible-redis,delta,1.0
DavidWittman/ansible-redis,iac,13.0
DavidWittman/ansible-redis,process,2.0
DavidWittman/ansible-redis,pdg_delta,7.0
DavidWittman/ansible-redis,pdg_iac,15.0
DavidWittman/ansible-redis,pdg_process,4.0
DavidWittman/ansible-redis,delta_iac,11.0
DavidWittman/ansible-redis,delta_process,3.0
DavidWittman/ansible-redis,iac_process,8.0
DavidWittman/ansible-redis,pdg_delta_iac,12.0
DavidWittman/ansible-redis,pdg_delta_process,6.0
DavidWittman/ansible-redis,pdg_iac_process,10.0
DavidWittman/ansible-redis,delta_iac_process,9.0
DavidWittman/ansible-redis,pdg_iac_delta_process,14.0
cloudalchemy/ansible-alertmanager,pdg,7.0
cloudalchemy/ansible-alertmanager,delta,1.0
cloudalchemy/ansible-alertmanager,iac,14.5
cloudalchemy/ansible-alertmanager,process,3.0
cloudalchemy/ansible-alertmanager,pdg_delta,5.0
cloudalchemy/ansible-alertmanager,pdg_iac,14.5
cloudalchemy/ansible-alertmanager,pdg_process,6.0
cloudalchemy/ansible-alertmanager,delta_iac,12.5
cloudalchemy/ansible-alertmanager,delta_process,2.0
cloudalchemy/ansible-alertmanager,iac_process,10.0
