repository,metric,classifier,precision,recall,f1,mcc,auc-pr
PyratLabs/ansible-role-k3s,pdg,naive_bayes,0.34615384615384615,0.225128205128205,0.25083028083028086,0.203119074656567,0.36574177288845394
PyratLabs/ansible-role-k3s,pdg,logistic,0.23153846153846155,0.181025641025641,0.20209235209235213,0.17044732721524947,0.40030340949091264
PyratLabs/ansible-role-k3s,pdg,svc,0.48333333333333334,0.22102564102564087,0.2775702075702076,0.2603640778151994,0.44745602810085605
PyratLabs/ansible-role-k3s,pdg,decision_tree,0.6153846153846154,0.2753846153846155,0.34368742368742344,0.33970601018505797,0.5108617556742617
PyratLabs/ansible-role-k3s,pdg,random_forest,0.6019230769230769,0.27846153846153865,0.3385498262421337,0.3294981949862621,0.510842993948183
PyratLabs/ansible-role-k3s,iac,naive_bayes,0.5799389499389501,0.9128205128205131,0.6670836428528735,0.6496389770645444,0.7456117193731876
PyratLabs/ansible-role-k3s,iac,logistic,0.7998013098013096,0.9223076923076924,0.8467216745044795,0.8258040663251861,0.9133387168387167
PyratLabs/ansible-role-k3s,iac,svc,0.7468498168498168,0.8582051282051281,0.7789898989898985,0.7469408031177132,0.7909765625573504
PyratLabs/ansible-role-k3s,iac,decision_tree,0.8992796092796093,0.9661538461538463,0.9220417189647958,0.9152696996895326,0.9423539582244375
PyratLabs/ansible-role-k3s,iac,random_forest,0.9362637362637363,0.981025641025641,0.9515856792779865,0.9453958906507263,0.9775923819769974
PyratLabs/ansible-role-k3s,process,naive_bayes,0.24722821813426302,0.24435897435897436,0.16829126945406023,0.08196893091135261,0.42783169442228486
PyratLabs/ansible-role-k3s,process,logistic,0.15326340326340324,0.06871794871794872,0.08465704230410111,0.030875421663512242,0.42616150577065603
PyratLabs/ansible-role-k3s,process,svc,0.1571095571095571,0.06153846153846154,0.07825899590605473,0.04211447767781799,0.44844387829976273
PyratLabs/ansible-role-k3s,process,decision_tree,0.30346153846153845,0.14435897435897435,0.17005661005661005,0.1406077725985559,0.48906023986179764
PyratLabs/ansible-role-k3s,process,random_forest,0.2969230769230769,0.16025641025641027,0.18735597735597737,0.15039928024237906,0.47151626864256213
PyratLabs/ansible-role-k3s,delta,naive_bayes,0.23096983476293823,0.1512820512820513,0.1351848151848152,0.07116060932929928,0.47201812565927603
