repository,metric,classifier,precision,recall,f1,mcc,auc-pr
PyratLabs/ansible-role-k3s,pdg,naive_bayes,0.41923076923076924,0.2779487179487181,0.3147496947496948,0.24995063258940767,0.33881869596537706
PyratLabs/ansible-role-k3s,pdg,logistic,0.36538461538461536,0.2587179487179487,0.28746031746031747,0.2254446883544269,0.38019921813502405
PyratLabs/ansible-role-k3s,pdg,svc,0.36538461538461536,0.22846153846153838,0.2596825396825397,0.22289469386732233,0.41658623238033776
PyratLabs/ansible-role-k3s,pdg,decision_tree,0.6115384615384616,0.2753846153846155,0.3420390720390718,0.33589230496373335,0.5096490185468905
PyratLabs/ansible-role-k3s,pdg,random_forest,0.5961538461538461,0.2753846153846155,0.3354456654456652,0.32393169768771324,0.5096673335652055
PyratLabs/ansible-role-k3s,iac,naive_bayes,0.5543710613167626,0.9356410256410259,0.6407295776268718,0.6260030004828282,0.7571590675544864
PyratLabs/ansible-role-k3s,iac,logistic,0.5801193251193257,0.9110256410256413,0.6616457675054962,0.645095668158144,0.7531138127504523
PyratLabs/ansible-role-k3s,iac,svc,0.5798676537138079,0.9405128205128206,0.674793211868706,0.6625636794743414,0.8390654993154991
PyratLabs/ansible-role-k3s,iac,decision_tree,0.7582079032079031,0.9725641025641028,0.8170545894527793,0.8155503986044182,0.8781599129187598
PyratLabs/ansible-role-k3s,iac,random_forest,0.789017094017094,0.9815384615384616,0.8429216936909241,0.84355189383308,0.9443581432624955
PyratLabs/ansible-role-k3s,process,naive_bayes,0.24188005816093922,0.46512820512820513,0.22710924386106823,0.06654593615446376,0.41559796594262605
PyratLabs/ansible-role-k3s,process,logistic,0.34813456643921803,0.3325641025641025,0.23991454552835628,0.16165265055032632,0.44932474534091016
PyratLabs/ansible-role-k3s,process,svc,0.3422306046443977,0.32897435897435895,0.2395315795315795,0.16205939467710062,0.4438612235531444
PyratLabs/ansible-role-k3s,process,decision_tree,0.2795175455848261,0.4515384615384615,0.21895724402955535,0.11423144858114848,0.5179121579621548
PyratLabs/ansible-role-k3s,process,random_forest,0.274814195873066,0.5579487179487181,0.24848067467976973,0.10089917247109957,0.5053771647852748
