,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.0003213125132662109,0.0003213125132662109,9.70039415052695e-06,9.70039415052695e-06
logistic,,,8.746184281766026e-12,8.746184281766026e-12,1.475818312094882e-11
svc,,,,1.475818312094882e-11,0.0034697015800749208
decision_tree,,,,,0.0034697015800749208
random_forest,,,,,
