,count,mean,std, min,25%,50%,75%,max
precision,80,0.51,0.28,0.0,0.32,0.49,0.71,1.0
recall,80,0.72,0.27,0.0,0.53,0.79,0.93,1.0
f1,80,0.54,0.27,0.0,0.36,0.51,0.71,1.0
mcc,80,0.43,0.32,-0.16,0.18,0.36,0.6,1.0
auc-pr,80,0.65,0.27,0.0,0.48,0.67,0.89,1.0
