,count,mean,std, min,25%,50%,75%,max
precision,80,0.55,0.27,0.0,0.41,0.51,0.75,1.0
recall,80,0.78,0.24,0.0,0.68,0.87,1.0,1.0
f1,80,0.59,0.25,0.0,0.47,0.61,0.77,1.0
mcc,80,0.5,0.28,-0.12,0.31,0.46,0.68,1.0
auc-pr,80,0.66,0.27,0.0,0.52,0.65,0.9,1.0
