,count,mean,std, min,25%,50%,75%,max
precision,80,0.58,0.27,0.0,0.41,0.56,0.75,1.0
recall,80,0.78,0.24,0.0,0.67,0.87,0.98,1.0
f1,80,0.61,0.25,0.0,0.47,0.6,0.79,1.0
mcc,80,0.52,0.29,-0.12,0.36,0.48,0.72,1.0
auc-pr,80,0.67,0.27,0.0,0.53,0.66,0.89,1.0
