,count,mean,std, min,25%,50%,75%,max
precision,80,0.68,0.28,0.0,0.54,0.7,0.91,1.0
recall,80,0.82,0.24,0.0,0.76,0.9,0.98,1.0
f1,80,0.69,0.26,0.0,0.56,0.73,0.9,1.0
mcc,80,0.63,0.29,-0.06,0.49,0.67,0.88,1.0
auc-pr,80,0.8,0.22,0.0,0.69,0.86,0.96,1.0
