,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,-0.22305743329970862,-0.30429786257471536,-0.6535203356543472,-0.6699886020184674
logistic,,,-0.08690759882436322,-0.45714982870448406,-0.4748992919864852
svc,,,,-0.36909481051845766,-0.38696097787552963
decision_tree,,,,,-0.01855587631968808
random_forest,,,,,
