,count,mean,std, min,25%,50%,75%,max
precision,80,0.48,0.28,0.0,0.3,0.44,0.67,1.0
recall,80,0.77,0.25,0.0,0.62,0.86,1.0,1.0
f1,80,0.53,0.25,0.0,0.36,0.5,0.66,1.0
mcc,80,0.41,0.29,-0.15,0.22,0.37,0.55,1.0
auc-pr,80,0.52,0.25,0.0,0.38,0.53,0.7,0.97
