,count,mean,std, min,25%,50%,75%,max
precision,80,0.48,0.27,0.0,0.3,0.44,0.71,1.0
recall,80,0.76,0.28,0.0,0.66,0.84,0.98,1.0
f1,80,0.53,0.26,0.0,0.36,0.52,0.7,1.0
mcc,80,0.43,0.28,-0.12,0.22,0.42,0.59,1.0
auc-pr,80,0.59,0.27,0.0,0.44,0.56,0.81,1.0
