,count,mean,std, min,25%,50%,75%,max
precision,80,0.56,0.28,0.0,0.35,0.59,0.75,1.0
recall,80,0.83,0.24,0.0,0.77,0.92,0.99,1.0
f1,80,0.61,0.26,0.0,0.44,0.63,0.81,1.0
mcc,80,0.53,0.29,-0.12,0.33,0.57,0.75,1.0
auc-pr,80,0.74,0.24,0.0,0.6,0.81,0.92,1.0
