,count,mean,std, min,25%,50%,75%,max
precision,80,0.48,0.29,0.0,0.26,0.43,0.75,1.0
recall,80,0.72,0.28,0.0,0.57,0.82,0.93,1.0
f1,80,0.52,0.27,0.0,0.33,0.48,0.75,1.0
mcc,80,0.41,0.31,-0.12,0.19,0.32,0.58,1.0
auc-pr,80,0.61,0.29,0.0,0.41,0.62,0.87,1.0
