,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.04701235328958608,0.04701235328958608,0.2972622935787437,0.2972622935787437
logistic,,,1.0411972094226318e-06,1.0411972094226318e-06,2.443742627140207e-07
svc,,,,2.443742627140207e-07,0.07307634883288133
decision_tree,,,,,0.07307634883288133
random_forest,,,,,
