,count,mean,std, min,25%,50%,75%,max
precision,80,0.68,0.28,0.0,0.55,0.7,0.92,1.0
recall,80,0.82,0.23,0.0,0.76,0.89,0.98,1.0
f1,80,0.69,0.26,0.0,0.58,0.74,0.89,1.0
mcc,80,0.63,0.29,-0.06,0.46,0.68,0.88,1.0
auc-pr,80,0.8,0.22,0.0,0.69,0.86,0.96,1.0
