,count,mean,std, min,25%,50%,75%,max
precision,80,0.52,0.27,0.0,0.33,0.5,0.71,1.0
recall,80,0.79,0.24,0.0,0.66,0.87,1.0,1.0
f1,80,0.56,0.25,0.0,0.41,0.53,0.7,1.0
mcc,80,0.46,0.29,-0.12,0.27,0.42,0.64,1.0
auc-pr,80,0.64,0.27,0.0,0.49,0.66,0.84,1.0
