,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.00017840257914221734,0.00017840257914221734,0.027308326070348964,0.027308326070348964
logistic,,,1.0926191250272139e-11,1.0926191250272139e-11,2.1492159529852216e-11
svc,,,,2.1492159529852216e-11,0.0643763095019019
decision_tree,,,,,0.0643763095019019
random_forest,,,,,
