,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,-0.21703667581126046,-0.10969235406244436,-0.6643507262294063,-0.678141032537791
logistic,,,0.11381427593110338,-0.4625758257017596,-0.4770002689434848
svc,,,,-0.5825745505476939,-0.5970786635438733
decision_tree,,,,,-0.014840795456047527
random_forest,,,,,
