,count,mean,std, min,25%,50%,75%,max
precision,80,0.54,0.27,0.0,0.38,0.5,0.74,1.0
recall,80,0.8,0.24,0.0,0.72,0.86,1.0,1.0
f1,80,0.59,0.26,0.0,0.43,0.59,0.77,1.0
mcc,80,0.49,0.29,-0.12,0.29,0.47,0.68,1.0
auc-pr,80,0.66,0.26,0.0,0.52,0.68,0.88,1.0
