,count,mean,std, min,25%,50%,75%,max
precision,80,0.49,0.26,0.0,0.33,0.5,0.71,1.0
recall,80,0.78,0.25,0.0,0.64,0.87,0.99,1.0
f1,80,0.54,0.24,0.0,0.4,0.54,0.69,1.0
mcc,80,0.43,0.28,-0.12,0.23,0.4,0.61,1.0
auc-pr,80,0.54,0.27,0.0,0.37,0.56,0.76,1.0
