,count,mean,std, min,25%,50%,75%,max
precision,80,0.44,0.27,0.0,0.25,0.43,0.6,1.0
recall,80,0.72,0.29,0.0,0.57,0.8,1.0,1.0
f1,80,0.49,0.26,0.0,0.36,0.49,0.64,1.0
mcc,80,0.38,0.27,-0.12,0.21,0.35,0.52,1.0
auc-pr,80,0.58,0.26,0.0,0.43,0.59,0.77,1.0
