,count,mean,std, min,25%,50%,75%,max
precision,80,0.56,0.28,0.0,0.34,0.58,0.76,1.0
recall,80,0.84,0.23,0.0,0.84,0.92,1.0,1.0
f1,80,0.61,0.26,0.0,0.44,0.65,0.81,1.0
mcc,80,0.53,0.28,-0.12,0.36,0.56,0.74,1.0
auc-pr,80,0.74,0.24,0.0,0.59,0.81,0.91,1.0
