,count,mean,std, min,25%,50%,75%,max
precision,80,0.55,0.28,0.0,0.35,0.59,0.75,1.0
recall,80,0.78,0.27,0.0,0.73,0.89,0.98,1.0
f1,80,0.59,0.27,0.0,0.44,0.62,0.81,1.0
mcc,80,0.52,0.28,-0.12,0.3,0.57,0.75,1.0
auc-pr,80,0.71,0.21,0.0,0.6,0.77,0.86,1.0
