,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,0.08199157784160808,-0.08863618549655639,-0.3905940252546094,-0.43613951623356745
logistic,,,-0.1788077978866733,-0.4958802731505176,-0.5436440053760099
svc,,,,-0.3150161339068921,-0.36251746402885776
decision_tree,,,,,-0.04757336104938005
random_forest,,,,,
