gitRepository,repository,file,taskCount,taskSize,taskIdentifier,taskCoverage,maxPdgVertices,lackOfCohesion,verticesCount,edgesCount,edgesToVerticesRatio,globalInput,globalOutput,directFanIn,indirectFanIn,directFanOut,indirectFanOut
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/create_target_vm/03_hosted_engine_final_tasks.yml,1,421.0,590.0,1.0,106,0,10,10,1.0,2,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/full_execution.yml,7,9.0,0.0,0.14,4,4,4,3,0.75,1,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/partial_execution.yml,12,8.17,0.0,0.08,3,3,3,2,0.67,0,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/fetch_host_ip.yml,5,9.0,14.0,0.2,46,0,46,48,1.04,7,0,0,17,0,93
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/pre_checks/001_validate_network_interfaces.yml,1,79.0,11.0,1.0,33,0,33,38,1.15,7,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/filter_team_devices.yml,5,7.0,2.2,0.2,29,0,29,33,1.14,5,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/pre_checks/002_validate_hostname_tasks.yml,4,29.25,28.75,0.25,73,0,9,12,1.33,1,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/fc_getdevices.yml,1,11.0,7.0,1.0,33,2,4,3,0.75,1,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/iscsi_discover.yml,3,12.0,5.67,0.33,49,0,4,3,0.75,1,0,0,0,0,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/iscsi_getdevices.yml,2,16.0,6.5,0.5,33,0,3,2,0.67,1,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/install_apt.yml,7,6.43,3.0,0.14,27,0,14,15,1.07,7,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/extensions/contrib.yml,3,7.67,3.67,0.33,17,3,17,18,1.06,6,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/extensions/dev_headers.yml,3,9.33,2.0,0.33,14,1,11,12,1.09,4,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/extensions/postgis.yml,3,9.33,3.0,0.33,17,5,14,16,1.14,6,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/fdw.yml,3,6.67,1.33,0.33,13,3,13,14,1.08,4,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/configure.yml,24,8.83,7.96,0.04,55,0,12,15,1.25,5,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/users.yml,2,8.5,3.0,0.5,27,1,27,34,1.26,11,0,0,0,0,8
ANXS/postgresql,postgresql,tasks/databases.yml,10,8.2,6.0,0.1,47,0,24,28,1.17,8,0,0,0,0,2
ANXS/postgresql,postgresql,tasks/schemas.yml,1,14.0,6.0,1.0,34,34,34,43,1.26,15,0,0,0,0,5
ANXS/postgresql,postgresql,tasks/users_privileges.yml,1,14.0,5.0,1.0,32,32,32,39,1.22,14,0,0,0,0,6
ANXS/postgresql,postgresql,tasks/monit.yml,1,4.0,0.0,1.0,5,5,5,4,0.8,2,0,0,0,0,0
ANXS/postgresql,postgresql,tasks/check_pg_version_mismatch.yml,3,8.0,3.67,0.33,22,9,22,27,1.23,8,0,0,0,0,0
ANXS/postgresql,postgresql,handlers/main.yml,1,5.0,1.0,1.0,9,9,9,9,1.0,4,0,0,0,0,0
rvm/rvm1-ansible,rvm1-ansible,tasks/rvm.yml,10,4.8,4.1,0.1,32,0,20,22,1.1,5,0,0,0,0,0
rvm/rvm1-ansible,rvm1-ansible,tasks/rubies.yml,9,6.22,5.78,0.11,32,2,15,15,1.0,4,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/prebootstrap.yml,4,7.75,1.5,0.25,19,0,19,19,1.0,8,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/set-authorized-keys-admin.yml,1,6.0,10.0,1.0,19,9,13,12,0.92,6,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-packages.yml,2,5.0,1.0,0.5,10,2,10,9,0.9,4,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-services-and-os-settings.yml,6,5.5,1.0,0.17,13,0,11,11,1.0,5,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-ssh.yml,2,7.0,0.5,0.5,12,2,7,6,0.86,4,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-firewall.yml,4,6.5,0.75,0.25,12,0,12,14,1.17,5,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-deploy-user.yml,5,7.6,3.0,0.2,23,6,23,27,1.17,10,0,0,0,0,2
stackbuilders/sb-debian-base,sb-debian-base,tasks/set-authorized-keys-user.yml,1,6.0,4.0,1.0,10,6,10,9,0.9,5,0,0,0,0,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-environment-variables.yml,2,9.5,4.0,0.5,26,11,26,30,1.15,12,0,0,0,0,3
stackbuilders/sb-debian-base,sb-debian-base,handlers/main.yml,2,2.5,0.0,0.5,6,3,6,6,1.0,2,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/redis.yml,2,5.5,0.5,0.5,9,9,9,8,0.89,5,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/ssl.yml,3,8.67,3.33,0.33,29,15,29,33,1.14,11,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/rabbit.yml,6,11.0,2.67,0.17,21,0,21,23,1.1,15,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/common.yml,5,10.2,3.6,0.2,28,10,23,28,1.22,13,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/server.yml,5,7.4,2.2,0.2,23,0,11,11,1.0,4,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/dashboard.yml,2,5.0,1.5,0.5,17,17,17,18,1.06,6,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/client.yml,3,7.67,1.67,0.33,20,2,9,8,0.89,4,0,0,0,0,0
sensu/sensu-ansible,sensu-ansible,tasks/plugins.yml,15,9.07,4.53,0.07,35,0,28,34,1.21,10,0,0,0,0,2
sensu/sensu-ansible,sensu-ansible,handlers/main.yml,14,3.86,1.29,0.07,15,0,5,5,1.0,1,0,0,0,0,0
automium/service-kubernetes,service-kubernetes,tasks/main.yml,2,24.5,2.0,0.5,11,4,10,12,1.2,2,0,0,0,0,0
automium/service-kubernetes,service-kubernetes,handlers/main.yml,11,6.45,0.55,0.09,13,0,9,8,0.89,3,0,0,0,0,0
caktus/tequila-django,tequila-django,tasks/main.yml,30,7.1,3.37,0.03,42,0,10,10,1.0,2,0,0,0,0,0
caktus/tequila-django,tequila-django,tasks/celery.yml,8,9.0,2.75,0.12,24,0,14,16,1.14,4,0,0,0,0,1
caktus/tequila-django,tequila-django,handlers/main.yml,1,8.0,6.0,1.0,25,25,25,27,1.08,9,0,0,0,0,0
