gitRepository,repository,file,taskCount,taskSize,taskIdentifier,taskCoverage,maxPdgVertices,lackOfCohesion
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/bootstrap_local_vm/05_add_host.yml,1,208.0,162.0,1.0,68,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/auth_sso.yml,1,12.0,15.0,1.0,10,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/pause_execution.yml,2,6.5,2.0,0.5,9,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/auth_revoke.yml,1,6.0,2.0,1.0,11,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/create_storage_domain.yml,1,176.0,280.0,1.0,74,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/create_target_vm/01_create_target_hosted_engine_vm.yml,1,221.0,138.0,1.0,59,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/create_target_vm/02_engine_vm_configuration.yml,1,91.0,28.0,1.0,13,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/ipv_switch.yml,1,11.0,10.0,1.0,12,6
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/create_target_vm/03_hosted_engine_final_tasks.yml,1,421.0,590.0,1.0,106,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/full_execution.yml,7,9.0,0.0,0.14,4,4
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/partial_execution.yml,12,8.17,0.0,0.08,3,3
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/fetch_host_ip.yml,5,9.0,14.0,0.2,46,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/pre_checks/001_validate_network_interfaces.yml,1,79.0,11.0,1.0,33,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/filter_team_devices.yml,5,7.0,2.2,0.2,29,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/pre_checks/002_validate_hostname_tasks.yml,4,29.25,28.75,0.25,73,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/fc_getdevices.yml,1,11.0,7.0,1.0,33,2
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/iscsi_discover.yml,3,12.0,5.67,0.33,49,0
oVirt/ovirt-ansible-hosted-engine-setup,ovirt-ansible-hosted-engine-setup,tasks/iscsi_getdevices.yml,2,16.0,6.5,0.5,33,0
ANXS/postgresql,postgresql,tasks/install_apt.yml,7,6.43,3.0,0.14,27,0
ANXS/postgresql,postgresql,tasks/extensions/contrib.yml,3,7.67,3.67,0.33,17,3
ANXS/postgresql,postgresql,tasks/extensions/dev_headers.yml,3,9.33,2.0,0.33,14,1
ANXS/postgresql,postgresql,tasks/extensions/postgis.yml,3,9.33,3.0,0.33,17,5
ANXS/postgresql,postgresql,tasks/fdw.yml,3,6.67,1.33,0.33,13,3
ANXS/postgresql,postgresql,tasks/configure.yml,24,8.83,7.96,0.04,55,0
ANXS/postgresql,postgresql,tasks/users.yml,2,8.5,3.0,0.5,27,1
ANXS/postgresql,postgresql,tasks/databases.yml,10,8.2,6.0,0.1,47,0
ANXS/postgresql,postgresql,tasks/schemas.yml,1,14.0,6.0,1.0,34,34
ANXS/postgresql,postgresql,tasks/users_privileges.yml,1,14.0,5.0,1.0,32,32
ANXS/postgresql,postgresql,tasks/monit.yml,1,4.0,0.0,1.0,5,5
ANXS/postgresql,postgresql,tasks/check_pg_version_mismatch.yml,3,8.0,3.67,0.33,22,9
ANXS/postgresql,postgresql,handlers/main.yml,1,5.0,1.0,1.0,9,9
rvm/rvm1-ansible,rvm1-ansible,tasks/rvm.yml,10,4.8,4.1,0.1,32,0
rvm/rvm1-ansible,rvm1-ansible,tasks/rubies.yml,9,6.22,5.78,0.11,32,2
stackbuilders/sb-debian-base,sb-debian-base,tasks/prebootstrap.yml,4,7.75,1.5,0.25,19,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/set-authorized-keys-admin.yml,1,6.0,10.0,1.0,19,9
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-packages.yml,2,5.0,1.0,0.5,10,2
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-services-and-os-settings.yml,6,5.5,1.0,0.17,13,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-ssh.yml,2,7.0,0.5,0.5,12,2
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-firewall.yml,4,6.5,0.75,0.25,12,0
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-deploy-user.yml,5,7.6,3.0,0.2,23,6
stackbuilders/sb-debian-base,sb-debian-base,tasks/set-authorized-keys-user.yml,1,6.0,4.0,1.0,10,6
stackbuilders/sb-debian-base,sb-debian-base,tasks/bootstrap-environment-variables.yml,2,9.5,4.0,0.5,26,11
stackbuilders/sb-debian-base,sb-debian-base,handlers/main.yml,2,2.5,0.0,0.5,6,3
sensu/sensu-ansible,sensu-ansible,tasks/redis.yml,2,5.5,0.5,0.5,9,9
sensu/sensu-ansible,sensu-ansible,tasks/ssl.yml,3,8.67,3.33,0.33,29,15
sensu/sensu-ansible,sensu-ansible,tasks/rabbit.yml,6,11.0,2.67,0.17,21,0
sensu/sensu-ansible,sensu-ansible,tasks/common.yml,5,10.2,3.6,0.2,28,10
sensu/sensu-ansible,sensu-ansible,tasks/server.yml,5,7.4,2.2,0.2,23,0
sensu/sensu-ansible,sensu-ansible,tasks/dashboard.yml,2,5.0,1.5,0.5,17,17
sensu/sensu-ansible,sensu-ansible,tasks/client.yml,3,7.67,1.67,0.33,20,2
sensu/sensu-ansible,sensu-ansible,tasks/plugins.yml,15,9.07,4.53,0.07,35,0
sensu/sensu-ansible,sensu-ansible,handlers/main.yml,14,3.86,1.29,0.07,15,0
automium/service-kubernetes,service-kubernetes,tasks/main.yml,2,24.5,2.0,0.5,11,4
automium/service-kubernetes,service-kubernetes,handlers/main.yml,11,6.45,0.55,0.09,13,0
caktus/tequila-django,tequila-django,tasks/main.yml,30,7.1,3.37,0.03,42,0
caktus/tequila-django,tequila-django,tasks/celery.yml,8,9.0,2.75,0.12,24,0
caktus/tequila-django,tequila-django,handlers/main.yml,1,8.0,6.0,1.0,25,25
