,count,mean,std, min,25%,50%,75%,max
precision,80,0.47,0.28,0.0,0.28,0.44,0.69,1.0
recall,80,0.72,0.28,0.0,0.57,0.83,0.93,1.0
f1,80,0.52,0.27,0.0,0.33,0.48,0.68,1.0
mcc,80,0.4,0.3,-0.12,0.17,0.34,0.58,1.0
auc-pr,80,0.59,0.29,0.0,0.41,0.62,0.85,1.0
