,naive_bayes,logistic,svc,decision_tree,random_forest
naive_bayes,,-0.06346665423089994,-0.13259917795885576,-0.41789701953565456,-0.46509580123377164
logistic,,,-0.07375491869641806,-0.3789063949814054,-0.4289732973288703
svc,,,,-0.3082878204065405,-0.3576339240658372
decision_tree,,,,,-0.0442914716227926
random_forest,,,,,
