,count,mean,std, min,25%,50%,75%,max
precision,80,0.55,0.29,0.0,0.34,0.59,0.79,1.0
recall,80,0.78,0.27,0.0,0.72,0.87,0.97,1.0
f1,80,0.6,0.27,0.0,0.43,0.63,0.81,1.0
mcc,80,0.52,0.29,-0.12,0.32,0.56,0.75,1.0
auc-pr,80,0.72,0.22,0.0,0.6,0.76,0.86,1.0
