,count,mean,std, min,25%,50%,75%,max
precision,80,0.47,0.26,0.0,0.31,0.45,0.66,1.0
recall,80,0.74,0.28,0.0,0.65,0.81,0.96,1.0
f1,80,0.52,0.25,0.0,0.4,0.51,0.65,1.0
mcc,80,0.42,0.27,-0.12,0.24,0.38,0.56,1.0
auc-pr,80,0.59,0.25,0.0,0.45,0.6,0.73,1.0
