,count,mean,std, min,25%,50%,75%,max
precision,80,0.5,0.26,0.0,0.34,0.5,0.67,1.0
recall,80,0.77,0.25,0.0,0.67,0.85,0.98,1.0
f1,80,0.54,0.24,0.0,0.42,0.55,0.68,1.0
mcc,80,0.44,0.27,-0.12,0.25,0.43,0.61,1.0
auc-pr,80,0.54,0.27,0.0,0.37,0.56,0.76,0.97
