,count,mean,std, min,25%,50%,75%,max
precision,80,0.56,0.28,0.0,0.34,0.59,0.75,1.0
recall,80,0.83,0.25,0.0,0.78,0.91,0.98,1.0
f1,80,0.61,0.26,0.0,0.44,0.62,0.81,1.0
mcc,80,0.54,0.28,-0.12,0.37,0.56,0.73,1.0
auc-pr,80,0.74,0.24,0.0,0.59,0.82,0.91,1.0
